uid;abstract_id;conference_acronym;conference_place;creators_json;creator_names;creators_amount;creators_group_type;creators_group_publication;groups_with_female;creators_with_female_YN;creators_with_female_amount;creators_with_male_amount;creators_group_interdisciplinary;title;format_type
20017;17;DHd 2020;Paderborn;[{'affiliation': 'Julius-Maximilians-Universität Würzburg, Deutschland', 'name': 'Wehner, Maximilian'}, {'affiliation': 'Universität Siegen, Deutschland', 'name': 'Dahnke, Michael'}, {'affiliation': 'Bayerische Akademie der Wissenschaften, Deutschland', 'name': 'Landes, Florian'}, {'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Deutschland', 'name': 'Nasarek, Robert'}, {'affiliation': 'Julius-Maximilians-Universität Würzburg, Deutschland', 'name': 'Reul, Christian'}];"Wehner, Maximilian;Dahnke, Michael;Landes, Florian;Nasarek, Robert;Reul, Christian";5;Kleingruppe;Kleingruppe_Workshop;Kleingruppe_FALSCH;FALSCH;0;5;Kleingruppe_INTER;OCR4all – Eine semi-automatische Open-Source-Software für die OCR historischer Drucke;Workshop
20018;18;DHd 2020;Paderborn;[{'affiliation': 'Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland', 'name': 'Albrecht, Jens'}, {'affiliation': 'Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland', 'name': 'Lehmann, Robert'}];"Albrecht, Jens;Lehmann, Robert";2;Duo;Duo_Poster;Duo_FALSCH;FALSCH;0;2;Duo_NICHT;CASOTEX – Ein Projekt, das sozialwissenschaftliche, interpretative Methoden mit maschinellen Lernverfahren verschränkt;Poster
20019;19;DHd 2020;Paderborn;[{'affiliation': 'Leuphana Universität Lüneburg Fachhochschule Potsdam, Deutschland', 'name': 'Freyberg, Linda'}];Freyberg, Linda;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Ikonizität als Erkenntnismittel – Vollständigkeit, Verständlichkeit und Kontextualisierung als Grundprinzipien der Visualisierung;Vortrag
20020;20;DHd 2020;Paderborn;[{'affiliation': 'Ruhr-Universität Bochum, Deutschland', 'name': 'Heinig, Julia'}, {'affiliation': 'Ruhr-Universität Bochum, Deutschland', 'name': 'Elwert, Frederik'}];"Heinig, Julia;Elwert, Frederik";2;Duo;Duo_Poster;Duo_WAHR;WAHR;1;1;Duo_NICHT;Spielräume des digitalen Publizierens nutzen: Das Online Journal 'Entangled Religions' als ,Research Hub';Poster
20021;21;DHd 2020;Paderborn;[{'affiliation': 'TU Dresden, Deutschland', 'name': 'Kröber, Cindy'}, {'affiliation': 'Friedrich-Schiller-Universität Jena, Deutschland', 'name': 'Münster, Sander'}, {'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Messemer, Heike'}];"Kröber, Cindy;Münster, Sander;Messemer, Heike";3;Kleingruppe;Kleingruppe_Vortrag;Kleingruppe_WAHR;WAHR;2;1;Kleingruppe_INTER;Bildrepositorien und Forschung mit digitalen Bildern im Bereich der Kunstgeschichte;Vortrag
20022;22;DHd 2020;Paderborn;[{'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Schmidt, David'}, {'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Krug, Markus'}, {'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Puppe, Frank'}];"Schmidt, David;Krug, Markus;Puppe, Frank";3;Kleingruppe;Kleingruppe_Vortrag;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Integrating user-specified Knowledge for semi-automatic Coreference Resolution;Vortrag
20023;23;DHd 2020;Paderborn;[{'affiliation': 'Uni Passau, Deutschland', 'name': 'Eckl, Markus'}, {'affiliation': 'Uni Passau, Deutschland', 'name': 'Gassner, Sebastian'}];"Eckl, Markus;Gassner, Sebastian";2;Duo;Duo_Poster;Duo_FALSCH;FALSCH;0;2;Duo_NICHT;Der Event Crawl als Ansatz für den Aufbau von Webarchiven am Beispiel von politischen Wahlkämpfen;Poster
20024;24;DHd 2020;Paderborn;[{'affiliation': 'Universität Stuttgart', 'name': 'Ketschik, Nora'}, {'affiliation': 'Universität Stuttgart', 'name': 'Krautter, Benjamin'}, {'affiliation': 'Universität Stuttgart', 'name': 'Murr, Sandra'}, {'affiliation': 'Universität Stuttgart', 'name': 'Pagel, Janis'}, {'affiliation': 'Universität zu Köln Universität Stuttgart', 'name': 'Reiter, Nils'}];"Ketschik, Nora;Krautter, Benjamin;Murr, Sandra;Pagel, Janis;Reiter, Nils";5;Kleingruppe;Kleingruppe_Workshop;Kleingruppe_WAHR;WAHR;3;2;Kleingruppe_INTER;Vom Phänomen zur Analyse – ein CRETA-Workshop zur reflektierten Operationalisierung in den DH;Workshop
20025;25;DHd 2020;Paderborn;[{'affiliation': 'Friedrich-Alexander-Universität Erlangen-Nürnberg', 'name': 'Kraft, Anneli'}];Kraft, Anneli;1;Single;Single_Poster;Single_WAHR;WAHR;1;0;Single_NICHT;Das gute Glas – Glasgestaltung im Zeitalter der guten Form;Poster
20026;26;DHd 2020;Paderborn;[{'affiliation': 'JGU Mainz, Deutschland', 'name': 'Weichselbaumer, Nikolaus'}, {'affiliation': 'FAU Erlangen, Deutschland', 'name': 'Seuret, Mathias'}, {'affiliation': 'JGU Mainz, Deutschland', 'name': 'Limbach, Saskia'}, {'affiliation': 'JGU Mainz, Deutschland', 'name': 'Hinrichsen, Lena'}, {'affiliation': 'FAU Erlangen, Deutschland', 'name': 'Maier, Andreas'}, {'affiliation': 'FAU Erlangen, Deutschland', 'name': 'Christlein, Vincent'}];"Weichselbaumer, Nikolaus;Seuret, Mathias;Limbach, Saskia;Hinrichsen, Lena;Maier, Andreas;Christlein, Vincent";6;Großgruppe;Großgruppe_Vortrag;Großgruppe_WAHR;WAHR;2;4;Großgruppe_INTER;The rapid rise of Fraktur;Vortrag
