idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
dh0011,3.901309600347583e-05,3.460379736132091e-05,2.120144997282608e-05,2.654026049399549e-05,0.2961560398741331,0.000980300103843,2.2317530886740605e-05,2.805405286012552e-05,3.551256756658895e-05,5.786551212724751e-05,3.431862251250197e-05,0.000284455002224,0.0001078455195911,3.648639798003116e-05,0.0001801807846843,4.632514761014252e-05,2.548105663406289e-05,0.0030947378694166,0.0051330851950637,0.0025712973696595,6.954567067712566e-05,0.0001903778254343,9.40348606266476e-05,0.0001137956210774,9.273589051642668e-05,0.3662695960776643,6.821141933987011e-05,4.24781968110834e-05,3.180470762666806e-05,9.649438127455335e-05,3.4934579616303726e-05,9.417929114263582e-05,2.367204128240929e-05,6.335030997418045e-05,0.0055041521669517,7.670372289258808e-05,0.0001580607325696,4.258568716407618e-05,0.0127336667893756,1.1835891168474933e-05,6.675040248342632e-05,0.0001407738949869,2.3696670725698697e-05,3.516634015278e-05,0.3046293818170192,4.343140726726624e-05,4.879169859055093e-05,4.0331167733697e-05,2.883267954185053e-05,0.0002149668476875
dh0012,9.508708381436684e-06,8.43402476875492e-06,5.167454667972537e-06,0.0037166999646311,0.1420584868839726,0.037341242465674,5.4394783991718e-06,6.837647736046806e-06,8.6555204138804e-06,1.4103630229999246e-05,8.364518763005004e-06,0.0507758246526197,0.0451674324999805,8.892873261077427e-06,0.0334359971551883,0.0024847784003084,0.2739449530222102,0.0186870686463039,1.4349213332343816e-05,8.333492943184072e-06,1.695044919278653e-05,0.000664772893488,2.291922864332969e-05,2.773554233721356e-05,2.2602629110362788e-05,0.0193953027894282,0.0253698722984934,1.0353261530689069e-05,7.751799292009479e-06,2.351869054189253e-05,8.514646721960207e-06,0.0519661922852409,5.769614832099103e-06,1.544044654555058e-05,0.0229845493396909,1.8695089789622646e-05,0.2133768226611847,0.0173247920784077,1.1732385388266378e-05,2.884775859506844e-06,0.0031081285512385,3.431098918760123e-05,5.775617795663319e-06,0.019796471268994,4.305675555379132e-05,1.0585588651130144e-05,1.1892058843296344e-05,9.829963575009944e-06,7.0274233450850965e-06,0.0179851786233102
dh0013,1.5899300658727645e-05,1.4102345995106624e-05,8.64038648685822e-06,1.081615212279976e-05,0.2199554285336036,0.1244754196941159,9.095231342242514e-06,1.1433079319806722e-05,1.4472703957006466e-05,2.3582367700333003e-05,1.398612654250856e-05,0.0011498920098825,0.0041798147834743,1.4869576395239803e-05,7.343043137019586e-05,0.0289699250460798,1.0384486801327888e-05,0.0612312452810064,0.0093296862978351,1.3934248956433936e-05,2.8342470628579863e-05,7.758610813827852e-05,0.1985597797173461,4.637598597650972e-05,3.779335546822929e-05,0.2733445159479813,0.0010617646349239,1.7311459272031353e-05,1.2961611887307568e-05,3.9325081496360496e-05,1.4237152177217245e-05,3.838159538964056e-05,9.647245158941138e-06,2.5817628649962822e-05,0.001209182639558,3.1259645525295794e-05,6.441568003831377e-05,1.735526562464671e-05,1.961746172553524e-05,4.823569814474512e-06,2.7203293942129623e-05,0.0248725527678548,9.657282581346182e-06,1.4331603293066547e-05,0.0497023584929211,1.7699928303880134e-05,1.988444817278977e-05,1.6436464351829283e-05,1.1750398911990604e-05,0.0011215729792396
dh0014,1.963481982048757e-05,1.7415673091765533e-05,1.067043359266931e-05,1.3357392418740057e-05,0.2026813386278262,0.043907796910492,1.1232143630956052e-05,1.4119265825350604e-05,1.7873046155340793e-05,2.912301306047377e-05,1.727214803614329e-05,0.001420057580625,5.427734690498757e-05,1.836316323556291e-05,9.068281179417956e-05,2.331488704207429e-05,1.2824307914472854e-05,0.0002806493606397,2.9630125043727528e-05,1.720808188146384e-05,3.500149572642657e-05,0.0026496044893841,4.732660912336688e-05,5.7271961087570064e-05,4.667285316244251e-05,0.4537638680291196,3.432998315024129e-05,2.137876318789269e-05,1.6006925049918544e-05,0.185198312645071,1.7582151803832463e-05,4.739929925689936e-05,1.1913852346448984e-05,3.188344554362587e-05,0.0002163836483658,3.860405691520595e-05,7.955005684304637e-05,2.1432861783740243e-05,2.4226557795468494e-05,5.956861011164056e-06,3.3594671019965515e-05,0.1060531194533361,1.1926248047657198e-05,1.769879408146164e-05,8.890919812031671e-05,2.1858502492778595e-05,2.4556272346999875e-05,2.0298189395951804e-05,1.4511139226060274e-05,0.0026619798471732
dh0015,2.350685572329193e-05,2.0850087672563327e-05,0.3011670070968676,1.5991503833362854e-05,0.337430113513766,0.1167719958797893,1.3447150633930283e-05,1.690362059391087e-05,2.1397655855794897e-05,3.4866144558443105e-05,2.067825911462213e-05,0.0001713948233294,6.498097636767241e-05,2.1984425258195064e-05,0.0016372673780365,2.7912641466209265e-05,1.5353293722717667e-05,0.1180460240545025,3.5473260301540485e-05,2.0601558952941784e-05,4.190387880626334e-05,0.0001147097906559,5.665953559577872e-05,6.85661360065421e-05,5.587685731341138e-05,0.0127877596930934,4.1099942259400165e-05,2.5594709113441658e-05,1.916353097008655e-05,5.8141489168846256e-05,2.104939640579007e-05,5.6746560406654345e-05,1.4263294024443202e-05,3.817094127716001e-05,0.0002590550486085,0.0825961079962275,9.5237528334127e-05,2.5659476088593336e-05,2.9004095987468545e-05,7.13156900003879e-06,4.021962472575295e-05,8.482155937508203e-05,1.4278134189138093e-05,2.118904083423572e-05,0.0001064423158346,2.616905421708139e-05,2.939883107867784e-05,2.43010434491904e-05,1.737277241585253e-05,0.0276461559741902
dh0016,1.6932234513243707e-05,0.0044195779175041,9.201728643343558e-06,1.1518847791184566e-05,0.2375487475744961,0.0731006938706462,9.686123518553474e-06,1.2175855052166569e-05,1.5412955745714817e-05,2.5114449298774164e-05,1.4894766734262684e-05,0.0265508137724982,4.6806478233784495e-05,1.5835611895205325e-05,7.820100462634456e-05,2.0105768153485696e-05,1.105913836048176e-05,0.1786266750112352,2.55517611306846e-05,1.483951880403914e-05,0.0110415822551754,8.26266642895442e-05,0.0121533507546048,4.938890629168115e-05,4.024868587406475e-05,0.0951000652406524,0.332573837973959,0.0077264150536925,1.3803692178439645e-05,0.001143019769146,1.5162100814355702e-05,4.087514212602072e-05,1.0274000155363976e-05,2.749492900727329e-05,0.001287739911447,3.329049875817211e-05,0.0066754396609715,1.8482789520358173e-05,0.0011220317994975,5.1369438846891946e-06,0.0099392292240967,6.109785808974982e-05,1.0284689681508472e-05,1.526268815954312e-05,7.667151553827023e-05,1.884984398633808e-05,2.1176286105596583e-05,1.750429625475208e-05,1.2513790025901086e-05,9.329864713361316e-05
dh0017,3.118120393352796e-05,2.765707346839874e-05,1.6945251800325773e-05,2.121229432389828e-05,0.2184525854222131,0.0170057537772288,1.7837279097518143e-05,2.2422192366266223e-05,2.838340775103686e-05,4.624899121559044e-05,2.742914756585195e-05,0.0002273505653965,8.619549546613733e-05,2.9161741383299937e-05,0.0001440094319006,3.702535873476808e-05,2.036572599307942e-05,0.3573351704869516,4.705431371467812e-05,2.7327406890227702e-05,5.558435403035508e-05,0.0001521594133098,7.515733090752767e-05,9.095111208920962e-05,7.41191294813515e-05,0.00074036572521,5.451795409527068e-05,3.395068459516573e-05,2.5419901934084227e-05,7.712310196282253e-05,2.792145107506939e-05,0.0264364277934486,1.891987107826394e-05,5.063271406045653e-05,0.0125103164022067,6.130542486967759e-05,0.0001263299876456,0.1115620001698757,0.0081495977669709,9.459832058096046e-06,5.33502368613696e-05,0.0021402946443735,1.893955615257611e-05,0.2433618453917559,0.0001411928331149,3.471253773348524e-05,3.89967487809645e-05,3.223467232310111e-05,2.304450948123682e-05,0.0001718121811223
dh0018,1.1482662904612111e-05,1.0184881002116652e-05,6.240189271450532e-06,7.81155293663422e-06,0.0012917618143065,0.0017820150061275,6.568683603395121e-06,8.257105051911037e-06,1.0452357900743677e-05,1.7031464754828196e-05,1.0100945939450262e-05,8.372319135549365e-05,3.174200138146148e-05,1.0738983867645144e-05,0.0896621218540279,1.3634807500698523e-05,7.499799138120344e-06,0.0001641268945722,1.73280295316802e-05,1.0063479333466374e-05,2.046926736574441e-05,5.603360455628551e-05,2.7677131949788748e-05,3.349328535057057e-05,0.9058258414573416,0.0002726440604038,2.0076559277814943e-05,1.2502540550331692e-05,9.361029343178451e-06,2.840103877595601e-05,1.0282239620577918e-05,2.771964195535416e-05,6.967354507977279e-06,1.864579663893865e-05,0.0001265435850683,2.2576085564342224e-05,4.652176567560428e-05,1.2534178016089446e-05,1.4167962784878744e-05,3.4836391464846743e-06,1.964654049491688e-05,4.143375808371238e-05,6.974603653105246e-06,1.035045333308902e-05,5.19950964902523e-05,1.2783097477793276e-05,1.4360783553523115e-05,1.18706088743675e-05,8.486277012885078e-06,6.32708526245425e-05
dh0019,4.354243921434048e-05,3.862122972902306e-05,2.366289634166466e-05,2.9621532194973745e-05,0.0926798111809969,0.0039257700363128,0.0113515446765869,3.1311072857921294e-05,3.963550635600908e-05,6.45835835275128e-05,3.830294664482355e-05,0.00031747966484,0.0001203661709113,4.072239655253708e-05,0.000201099417078,5.170340553670153e-05,0.1161264596334682,0.5896074502546262,6.570816184845315e-05,3.816087268278415e-05,7.761978536154865e-05,0.0002124803140717,0.0001049521217823,0.0142853022230841,0.0001035023438139,0.0151921657417924,7.613063008548631e-05,0.0028790688625024,0.0085304742646276,0.0001076971879083,3.8990415148952e-05,0.0001051133203953,2.642031841120306e-05,7.070515554609202e-05,0.0004798552745626,8.560887326826282e-05,0.0001764112707044,4.752980113594424e-05,0.0481919286681244,1.3210014701344216e-05,7.449999206441864e-05,0.0001571174655015,2.6447807284098883e-05,0.090652338078999,0.0030288252587946,4.847370766882277e-05,5.445631820284668e-05,4.501353646302289e-05,3.218009655592913e-05,0.0002399240731291
dh0020,3.4159749254097624e-05,3.0298980655034747e-05,1.8563925683583505e-05,2.323857208186056e-05,0.2237696172994524,0.0053013126207776,1.9541162767336293e-05,2.456404411425608e-05,3.109469710724314e-05,5.0666867980706047e-05,3.004928241707992e-05,0.0002490679424463,0.0023159116143526,3.1947380081602216e-05,0.0001577657519074,4.056215959842154e-05,2.231113637511618e-05,0.0004882607467461,0.0311523027529467,2.993782309127339e-05,0.2577528526699886,0.0001666942500486,8.23366404928261e-05,9.963910277396416e-05,8.119926618011425e-05,0.4384431215238645,5.97257131479253e-05,3.7193781075553175e-05,2.7848106121341205e-05,8.449018935780854e-05,3.0588612600341296e-05,8.246310341723377e-05,2.072716798655777e-05,5.546934044133698e-05,0.0003764542398882,6.71615485382948e-05,0.0001383975009575,3.728789930459967e-05,4.2148242110151314e-05,1.0363470627347047e-05,5.844645119271714e-05,0.0378884620406394,2.0748733452855527e-05,3.079154142742847e-05,0.0001546801010622,3.802840927749563e-05,4.272186420135009e-05,3.5313848887699086e-05,2.5245807289573084e-05,0.000188224323809
